video_id,track_id,auto_label,human_label
Phố_Huế_Trần_Khát_Chân__17h30_16_9_22_,98088,right,straight
Cửa_Nam_-_Điện_Biên_Phủ__16h30_15_9_22_,4829,straight,straight
Phố_Huế_Trần_Khát_Chân__17h30_16_9_22_,98140,straight,straight
Láng_Hạ_-_Thái_Hà__16h_15_9_22_,45880,left,left
Phố_Huế_Trần_Khát_Chân__17h30_13_9_22_,97382,straight,straight
Phố_Huế_Trần_Khát_Chân__15h06_24_9_22_,92484,straight,straight
Giảng_Võ_-_Láng_Hạ__16h_15_9_22_,15603,left,unsure
Lý_Thường_Kiệt_-_Bà_Triệu__16h30_15_9_22_,58050,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_8_9_22_,110286,left,left
Lý_Thường_Kiệt_-_Bà_Triệu__16h_5_9_22_,64055,straight,unsure
Phố_Huế_Trần_Khát_Chân__7h30_9_9_22_,111704,straight,straight
Láng_Hạ_-_Thái_Hà_1__16h15_15_9_22_,26941,straight,straight
Phố_Huế_Trần_Khát_Chân__17h30_11_9_22_,94482,right,straight
Phố_Huế_Trần_Khát_Chân__17h30_18_9_22_,99966,right,straight
Láng_Hạ_-_Thái_Hà__16h30_15_9_22_,42294,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_22_9_22_,107301,right,unsure
Phố_Huế_Trần_Khát_Chân__17h30_17_9_22_,98792,straight,unsure
Giảng_Võ_-_Láng_Hạ__16h15_7_9_22_,13143,straight,unsure
Lê_Duẩn_-_Nguyễn_Thái_Học__16h15_15_9_22_,49430,straight,straight
Lý_Thường_Kiệt_-_Bà_Triệu__16h15_25_9_22_,57030,straight,unsure
Giảng_Võ_-_Láng_Hạ__16h_15_9_22_,15375,u_turn,straight
Phố_Huế_Trần_Khát_Chân__7h30_16_9_22_,106662,left,straight
Lý_Thường_Kiệt_-_Bà_Triệu__16h30_25_9_22_,59758,right,straight
Phố_Huế_Trần_Khát_Chân__12h_10_9_22_,84473,straight,straight
Phố_Huế_Trần_Khát_Chân__17h30_18_9_22_,99893,left,unsure
Láng_Hạ_-_Thái_Hà__16h15_25_9_22_,40373,straight,straight
Lê_Duẩn_-_Nguyễn_Thái_Học__16h15_25_9_22_,50204,right,right
Lê_Duẩn_-_Nguyễn_Thái_Học__16h15_5_9_22_,51017,straight,straight
Giảng_Võ_-_Láng_Hạ__16h15_7_9_22_,12788,straight,unsure
Lê_Duẩn_-_Nguyễn_Thái_Học__16h_5_9_22_,55703,straight,straight
Phố_Huế_Trần_Khát_Chân__12h25_9_9_22_,83260,straight,unsure
Lý_Thường_Kiệt_-_Bà_Triệu__16h_25_9_22_,62681,straight,straight
Phố_Huế_Trần_Khát_Chân__7h30_22_9_22_,107656,left,left
Phố_Huế_Trần_Khát_Chân__7h30_16_9_22_,106154,straight,u_turn
Giảng_Võ_-_Láng_Hạ__16h_7_9_22_,19822,left,straight
Lý_Thường_Kiệt_-_Hàng_Bài__16h15_15_9_22_,64183,straight,straight
Phố_Huế_Trần_Khát_Chân__17h30_20_9_22_,101063,straight,straight
Láng_Hạ_-_Thái_Hà__16h15_25_9_22_,39746,left,left
Phố_Huế_Trần_Khát_Chân__17h30_20_9_22_,101477,straight,unsure
Giảng_Võ_-_Láng_Hạ__16h_7_9_22_,19683,straight,unsure
Phố_Huế_Trần_Khát_Chân__17h30_18_9_22_,100246,straight,left
Phố_Huế_Trần_Khát_Chân__12h_11_9_22_,85517,straight,left
Phố_Huế_Trần_Khát_Chân__12h_10_9_22_,85021,right,unsure
Lê_Duẩn_-_Nguyễn_Thái_Học__16h_25_9_22_,54631,straight,straight
Lý_Thường_Kiệt_-_Hàng_Bài__16h_30_15_9_22_,70708,straight,straight
Láng_Hạ_-_Thái_Hà_1__16h15_25_9_22_,27096,straight,straight
Nguyễn_Thái_Học_-_Trịnh_Hoài_Đức__16h_5_9_22_,72638,right,unsure
Láng_Hạ_-_Thái_Hà_1__16h30_7_9_22_,33133,left,straight
Phố_Huế_Trần_Khát_Chân__7h30_14_9_22_,105042,left,left
Phố_Huế_Trần_Khát_Chân__17h30_12_9_22_,95982,straight,straight
