epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2017.59,1.33434,0.76602,0.88364,0.66849,0.5061,0.54073,0.31427,1.37814,1.02869,0.94836,0.000370006,0.000370006,0.000370006
2,4989.32,1.35915,0.80167,0.89125,0.66737,0.4934,0.52808,0.30862,1.41436,1.11996,0.97145,0.000691477,0.000691477,0.000691477
3,7146.02,1.38203,0.82207,0.89388,0.67434,0.48362,0.52605,0.30642,1.37635,1.05153,0.94266,0.000964064,0.000964064,0.000964064
4,8552.16,1.37912,0.81529,0.89258,0.63568,0.49078,0.51294,0.2988,1.38286,1.04637,0.95696,0.000891022,0.000891022,0.000891022
5,12021.7,1.36851,0.80262,0.8927,0.65031,0.51012,0.53882,0.31989,1.30864,0.9529,0.92783,0.000817696,0.000817696,0.000817696
6,13771.4,1.34097,0.78594,0.89395,0.65585,0.48914,0.51554,0.30538,1.36232,0.96678,0.96002,0.00074437,0.00074437,0.00074437
7,-48006.1,1.34631,0.77898,0.88497,0.66707,0.51148,0.54277,0.31931,1.31627,0.93632,0.9386,0.000671044,0.000671044,0.000671044
8,-48015.8,1.27474,0.71335,0.86888,0.69601,0.4981,0.54297,0.31875,1.33331,0.93852,0.93388,0.000597718,0.000597718,0.000597718
9,-44757.5,1.30153,0.73608,0.87775,0.69152,0.49657,0.5432,0.32588,1.2768,0.939,0.92544,0.000524392,0.000524392,0.000524392
10,-43263.1,1.29128,0.72451,0.87364,0.67317,0.52713,0.55954,0.33471,1.29444,0.90803,0.9354,0.000451066,0.000451066,0.000451066
11,-41702.3,1.27816,0.70748,0.86985,0.69054,0.52711,0.5645,0.3391,1.23564,0.86837,0.91131,0.00037774,0.00037774,0.00037774
12,-38516.6,1.2624,0.69375,0.86889,0.6928,0.53836,0.57335,0.34091,1.24294,0.87278,0.91682,0.000304414,0.000304414,0.000304414
13,-36526.1,1.27352,0.70318,0.86836,0.72464,0.50862,0.56656,0.34107,1.2261,0.8497,0.91193,0.000231088,0.000231088,0.000231088
14,-33837.2,1.26078,0.68636,0.867,0.69495,0.53346,0.57442,0.34832,1.20568,0.83014,0.90937,0.000157762,0.000157762,0.000157762
15,-47948.5,1.1931,0.63501,0.8524,0.70249,0.53458,0.57345,0.34759,1.21414,0.83052,0.90886,8.4436e-05,8.4436e-05,8.4436e-05
