epoch,total_epochs,loss,train_acc,val_acc,time_min,lr
13,60,1.1302,99.0,98.4,2.3,0.000267
14,60,1.1264,99.0,98.3,2.3,0.000262
15,60,1.1245,99.0,98.3,2.3,0.000256
16,60,1.117,99.1,99.3,2.3,0.000251
17,60,1.115,99.1,98.4,2.3,0.000245
18,60,1.1083,99.2,98.7,2.3,0.000238
19,60,1.1044,99.3,98.9,2.3,0.000232
20,60,1.0988,99.4,98.6,2.3,0.000225
21,60,1.0963,99.4,98.9,2.2,0.000218
22,60,1.0947,99.3,99.3,2.2,0.000211
23,60,1.0835,99.5,99.0,2.3,0.000204
24,60,1.0792,99.6,99.1,2.2,0.000197
25,60,1.0837,99.5,98.9,2.2,0.000189
26,60,1.0772,99.6,99.0,2.3,0.000182
27,60,1.0717,99.7,99.3,2.2,0.000174
28,60,1.067,99.6,99.5,2.3,0.000166
29,60,1.0643,99.7,99.5,2.4,0.000158
30,60,1.0587,99.8,99.4,2.4,0.000151
31,60,1.0562,99.7,99.4,2.7,0.000143
32,60,1.0545,99.7,99.4,2.6,0.000135
33,60,1.0494,99.8,99.7,2.6,0.000127
34,60,1.0453,99.8,99.6,2.7,0.000119
35,60,1.0435,99.8,99.7,2.8,0.000112
36,60,1.039,99.8,99.6,2.8,0.000104
37,60,1.0389,99.8,99.5,2.8,9.69e-05
38,60,1.0327,99.9,99.7,2.8,8.97e-05
39,60,1.0313,99.9,99.6,2.7,8.26e-05
40,60,1.0278,99.9,99.6,2.8,7.58e-05
41,60,1.0239,99.9,99.8,2.8,6.91e-05
42,60,1.0233,99.9,99.9,2.8,6.26e-05
43,60,1.0199,99.9,99.8,2.7,5.64e-05
44,60,1.0177,99.9,99.8,2.8,5.05e-05
45,60,1.0165,99.9,99.8,2.8,4.48e-05
46,60,1.0144,99.9,99.9,2.8,3.94e-05
47,60,1.0114,99.9,99.9,2.8,3.43e-05
48,60,1.0093,100.0,99.9,2.6,2.96e-05
49,60,1.0082,100.0,100.0,2.6,2.51e-05
50,60,1.0062,100.0,99.8,2.6,2.1e-05
51,60,1.0045,100.0,99.9,2.6,1.73e-05
52,60,1.0041,99.9,99.9,2.6,1.39e-05
53,60,1.0027,100.0,99.9,2.7,1.09e-05
54,60,1.002,100.0,99.9,2.8,8.32e-06
55,60,1.0009,100.0,99.9,2.8,6.09e-06
56,60,1.0001,100.0,99.9,2.9,4.27e-06
57,60,0.9996,100.0,99.9,2.8,2.84e-06
58,60,0.9996,100.0,99.9,2.7,1.82e-06
59,60,0.9986,100.0,99.9,2.5,1.2e-06
60,60,0.9989,100.0,99.9,2.3,1e-06
