epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.432,1.11589,3.32344,1.09474,0.85381,0.36918,0.44275,0.31671,1.08506,1.47829,1.12551,9.74922e-05,9.74922e-05,9.74922e-05
2,528.651,1.04331,1.05637,1.14813,0.85946,0.78019,0.81792,0.60511,1.03241,0.83496,1.13432,0.000191621,0.000191621,0.000191621
3,725.777,1.00661,0.80555,1.10999,0.907,0.92547,0.93869,0.69895,1.03157,0.7719,1.05712,0.00028187,0.00028187,0.00028187
4,994.073,0.99386,0.73006,1.08856,0.93656,0.94751,0.95607,0.71193,1.03498,0.70868,1.07641,0.000276536,0.000276536,0.000276536
5,1191.37,0.9829,0.68236,1.07504,0.96039,0.94052,0.95471,0.71402,0.99088,0.64383,1.02248,0.000270715,0.000270715,0.000270715
6,1455.73,0.9752,0.64585,1.06804,0.93365,0.94451,0.96331,0.71997,0.99589,0.63056,1.02653,0.000264894,0.000264894,0.000264894
7,1704.64,0.97554,0.62299,1.06731,0.93781,0.95871,0.95639,0.71814,1.00219,0.59145,1.03103,0.000259073,0.000259073,0.000259073
8,1956.59,0.96641,0.60259,1.06023,0.95703,0.95568,0.96976,0.72663,1.01783,0.59877,1.05016,0.000253252,0.000253252,0.000253252
9,2192.71,0.95688,0.57964,1.05868,0.96693,0.94878,0.96616,0.72571,1.00952,0.6268,1.04374,0.00024743,0.00024743,0.00024743
10,2429.39,0.95109,0.56443,1.05879,0.96393,0.94391,0.96631,0.7201,1.0552,0.59063,1.07764,0.000241609,0.000241609,0.000241609
11,2636.96,0.94232,0.54323,1.05511,0.96026,0.96319,0.96762,0.73028,0.99594,0.53136,1.01639,0.000235788,0.000235788,0.000235788
12,2837.65,0.93854,0.53353,1.05223,0.96443,0.95525,0.96869,0.73116,0.98984,0.55353,1.03995,0.000229967,0.000229967,0.000229967
13,3027.03,0.93336,0.52175,1.05392,0.96892,0.95538,0.97406,0.73466,0.99145,0.50152,1.03495,0.000224146,0.000224146,0.000224146
14,3275.03,0.929,0.51311,1.04895,0.95942,0.96767,0.96804,0.72046,1.01264,0.53951,1.06157,0.000218324,0.000218324,0.000218324
