epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1986.66,1.54723,1.18405,0.94787,0.43773,0.3763,0.34632,0.18924,1.52543,1.04546,0.93219,0.000369888,0.000369888,0.000369888
2,1754.3,1.56328,1.05175,0.94787,0.49335,0.3829,0.37346,0.20411,1.50471,0.99099,0.92672,0.000699509,0.000699509,0.000699509
3,4286.71,1.541,1.01731,0.93901,0.51448,0.37613,0.36797,0.20391,1.47022,1.00061,0.91753,0.000988393,0.000988393,0.000988393
4,5875.71,1.50936,0.97511,0.92693,0.58865,0.4197,0.43825,0.24552,1.40882,0.89257,0.90359,0.000927685,0.000927685,0.000927685
5,8079.93,1.47901,0.93041,0.91725,0.5482,0.44558,0.44149,0.24952,1.40845,0.86822,0.90198,0.00086658,0.00086658,0.00086658
6,9488.46,1.44939,0.90338,0.91169,0.60379,0.44926,0.47489,0.26895,1.36486,0.8304,0.89371,0.000805475,0.000805475,0.000805475
7,1745.42,1.42587,0.87054,0.90678,0.59812,0.45673,0.47318,0.26967,1.35511,0.81598,0.8908,0.00074437,0.00074437,0.00074437
8,4045.8,1.39609,0.84165,0.89922,0.62176,0.47809,0.5006,0.2869,1.33172,0.80044,0.88443,0.000683265,0.000683265,0.000683265
9,5107.48,1.38749,0.84444,0.90653,0.6258,0.46628,0.49524,0.2868,1.33395,0.80842,0.88703,0.00062216,0.00062216,0.00062216
10,6909.12,1.36885,0.82097,0.90099,0.64364,0.47052,0.50072,0.28928,1.33109,0.79524,0.88703,0.000561055,0.000561055,0.000561055
11,7639.92,1.35252,0.79973,0.89865,0.65596,0.47838,0.51283,0.29753,1.31892,0.78406,0.88301,0.00049995,0.00049995,0.00049995
12,9837.04,1.33548,0.78104,0.89396,0.6599,0.47827,0.5091,0.30171,1.30833,0.77531,0.87926,0.000438845,0.000438845,0.000438845
13,11096.6,1.32196,0.76457,0.89082,0.66837,0.49317,0.52872,0.30896,1.29247,0.7566,0.87488,0.00037774,0.00037774,0.00037774
14,13668.4,1.30305,0.74602,0.88645,0.64809,0.5064,0.53419,0.31296,1.28469,0.74799,0.87432,0.000316635,0.000316635,0.000316635
15,14552.2,1.29615,0.73295,0.883,0.67124,0.50479,0.53713,0.31704,1.27645,0.74108,0.87109,0.00025553,0.00025553,0.00025553
16,16155.1,1.27966,0.71619,0.88005,0.67165,0.52038,0.54663,0.32677,1.26472,0.73263,0.86852,0.000194425,0.000194425,0.000194425
17,17653.5,1.26076,0.69654,0.87626,0.67709,0.51053,0.54914,0.32758,1.25338,0.72003,0.86775,0.00013332,0.00013332,0.00013332
18,-48627.8,1.28122,0.71206,0.87265,0.67715,0.52898,0.55875,0.3337,1.25033,0.70889,0.86646,7.2215e-05,7.2215e-05,7.2215e-05
