epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.531,1.30066,0.74754,0.88682,0.6518,0.47146,0.49175,0.2868,1.36794,0.97242,0.9262,0.000369947,0.000369947,0.000369947
2,548.047,1.35756,0.81636,0.89828,0.60886,0.44587,0.46545,0.26985,1.39562,0.95797,0.93612,0.000666992,0.000666992,0.000666992
3,815.328,1.37662,0.8377,0.90545,0.64855,0.46261,0.49412,0.28408,1.41244,0.94482,0.92922,0.000890712,0.000890712,0.000890712
4,1086.13,1.36434,0.8167,0.90143,0.64074,0.45892,0.49405,0.28652,1.37863,0.91864,0.95183,0.000781033,0.000781033,0.000781033
5,1348.5,1.35075,0.80258,0.89667,0.64102,0.48345,0.5125,0.30302,1.33068,0.85396,0.92034,0.000671044,0.000671044,0.000671044
6,1609.08,1.33028,0.77642,0.89273,0.66621,0.49418,0.52875,0.30935,1.29041,0.84148,0.9153,0.000561055,0.000561055,0.000561055
7,1870.94,1.3095,0.75533,0.88734,0.6653,0.48811,0.5279,0.31057,1.27149,0.82406,0.91404,0.000451066,0.000451066,0.000451066
8,2137.2,1.28917,0.73061,0.88177,0.67614,0.49842,0.5379,0.32064,1.25117,0.79844,0.90449,0.000341077,0.000341077,0.000341077
9,2404.39,1.2701,0.70853,0.87565,0.67307,0.51897,0.55045,0.32849,1.23839,0.77935,0.89802,0.000231088,0.000231088,0.000231088
10,2667.75,1.24827,0.68782,0.87224,0.69259,0.52065,0.55753,0.33417,1.20508,0.75549,0.89346,0.000121099,0.000121099,0.000121099
