epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,494.122,1.68066,1.26733,1.05436,0.65109,0.45721,0.5151,0.35288,1.22244,0.88441,0.95001,0.000370133,0.000370133,0.000370133
2,970.24,1.24068,0.86794,0.9189,0.73979,0.51094,0.60354,0.44615,1.01493,0.77606,0.91592,0.000716031,0.000716031,0.000716031
3,1446.21,1.14065,0.80374,0.89573,0.74136,0.5721,0.63536,0.47126,0.96423,0.73323,0.89923,0.00103749,0.00103749,0.00103749
4,1923.63,1.05833,0.75075,0.87968,0.80162,0.59702,0.66367,0.51321,0.86862,0.68678,0.88882,0.00100101,0.00100101,0.00100101
5,2403.99,0.9956,0.71208,0.86754,0.80453,0.61054,0.67895,0.52937,0.83693,0.6515,0.87754,0.000964348,0.000964348,0.000964348
6,2895.51,0.94815,0.68176,0.85717,0.81682,0.61502,0.68744,0.54327,0.80658,0.63748,0.87066,0.000927685,0.000927685,0.000927685
7,3380.55,0.90565,0.64847,0.85084,0.86494,0.63535,0.70892,0.5705,0.76478,0.60259,0.86238,0.000891022,0.000891022,0.000891022
8,3862.79,0.88106,0.63315,0.84421,0.83588,0.65781,0.71565,0.58405,0.70773,0.57128,0.85845,0.000854359,0.000854359,0.000854359
9,4339.71,0.85002,0.61042,0.84003,0.81385,0.68706,0.73035,0.59674,0.69764,0.56058,0.85419,0.000817696,0.000817696,0.000817696
10,4816.9,0.8297,0.6005,0.83687,0.83603,0.68304,0.73596,0.61121,0.63968,0.54019,0.84881,0.000781033,0.000781033,0.000781033
11,5293.33,0.80733,0.58486,0.83388,0.83772,0.69395,0.74437,0.61236,0.65399,0.5395,0.84893,0.00074437,0.00074437,0.00074437
12,5770.6,0.78746,0.57227,0.82999,0.86295,0.69397,0.74841,0.62442,0.64055,0.52683,0.84655,0.000707707,0.000707707,0.000707707
13,6249.38,0.77111,0.56131,0.82569,0.88535,0.69753,0.75978,0.63847,0.60166,0.506,0.84249,0.000671044,0.000671044,0.000671044
14,6734.13,0.75339,0.5493,0.82476,0.86912,0.7101,0.76319,0.64208,0.59275,0.49912,0.83855,0.000634381,0.000634381,0.000634381
15,7223.4,0.73845,0.54019,0.82161,0.87946,0.70419,0.76665,0.64581,0.57643,0.48882,0.83906,0.000597718,0.000597718,0.000597718
16,7701.8,0.72675,0.53335,0.8212,0.8399,0.72203,0.76958,0.65015,0.57675,0.47873,0.83671,0.000561055,0.000561055,0.000561055
17,8178.94,0.7163,0.52508,0.81883,0.87823,0.7108,0.7713,0.64946,0.5751,0.47946,0.83744,0.000524392,0.000524392,0.000524392
18,8655.54,0.70683,0.51821,0.81739,0.85489,0.72983,0.77761,0.65699,0.5564,0.4737,0.83663,0.000487729,0.000487729,0.000487729
19,9132.52,0.68944,0.50755,0.81388,0.86841,0.7303,0.78118,0.66173,0.54646,0.46481,0.83322,0.000451066,0.000451066,0.000451066
20,9609.71,0.67688,0.49757,0.81186,0.87172,0.72992,0.78162,0.6684,0.52252,0.45315,0.83015,0.000414403,0.000414403,0.000414403
21,476.55,0.62369,0.44444,0.80646,0.87411,0.73047,0.78334,0.6626,0.53353,0.45258,0.82966,0.00037774,0.00037774,0.00037774
22,947.609,0.60333,0.4343,0.80459,0.86289,0.74014,0.78736,0.66989,0.52581,0.44808,0.82893,0.000341077,0.000341077,0.000341077
23,1419.16,0.58646,0.42305,0.80317,0.87801,0.73798,0.7911,0.67948,0.50627,0.43928,0.82683,0.000304414,0.000304414,0.000304414
24,1890.72,0.57121,0.41433,0.80029,0.87122,0.73934,0.7903,0.68546,0.50023,0.43863,0.82533,0.000267751,0.000267751,0.000267751
25,2362.42,0.5552,0.40231,0.79905,0.88357,0.74396,0.7981,0.69263,0.48101,0.43009,0.82555,0.000231088,0.000231088,0.000231088
26,2833.85,0.54416,0.39477,0.79665,0.86914,0.7533,0.79992,0.6964,0.47577,0.42409,0.82442,0.000194425,0.000194425,0.000194425
27,3305.91,0.53191,0.38801,0.79545,0.8911,0.74612,0.80242,0.69852,0.48115,0.42481,0.82379,0.000157762,0.000157762,0.000157762
28,3777.28,0.51679,0.37958,0.79349,0.8719,0.75392,0.80437,0.69891,0.47377,0.42137,0.82369,0.000121099,0.000121099,0.000121099
29,4249.33,0.50859,0.37492,0.79235,0.87672,0.7578,0.80477,0.70177,0.46744,0.41943,0.82242,8.4436e-05,8.4436e-05,8.4436e-05
30,4721.62,0.49619,0.36665,0.79101,0.89967,0.75032,0.8055,0.70413,0.46164,0.41667,0.82244,4.7773e-05,4.7773e-05,4.7773e-05
