epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,-49195.8,0.67567,0.83807,0.85323,0.72148,0.69308,0.75617,0.64314,0.59924,0.40379,0.83923,0.000332946,0.000332946,0.000332946
2,-46614.3,0.66189,0.4183,0.85634,0.73429,0.69459,0.75888,0.64458,0.60408,0.3955,0.8423,0.000644292,0.000644292,0.000644292
3,-44618.8,0.66559,0.41463,0.85736,0.71086,0.69638,0.75543,0.63821,0.6071,0.39701,0.84321,0.000933638,0.000933638,0.000933638
4,439.031,0.66956,0.41694,0.85951,0.71984,0.69367,0.75825,0.64272,0.60622,0.40117,0.84364,0.000901,0.000901,0.000901
5,872.078,0.66265,0.41144,0.85852,0.72442,0.69538,0.75606,0.63699,0.62258,0.40212,0.84652,0.000868,0.000868,0.000868
6,1304.83,0.65571,0.40621,0.85596,0.73081,0.69926,0.76452,0.65159,0.59511,0.38236,0.841,0.000835,0.000835,0.000835
7,1737.45,0.65279,0.40301,0.85594,0.899,0.6993,0.7649,0.65106,0.59348,0.38267,0.84032,0.000802,0.000802,0.000802
8,2168.3,0.64773,0.39927,0.85454,0.90614,0.69301,0.7638,0.64962,0.59496,0.38127,0.84213,0.000769,0.000769,0.000769
9,2599.63,0.64501,0.39651,0.85345,0.89414,0.70673,0.76362,0.65161,0.58612,0.37684,0.83843,0.000736,0.000736,0.000736
10,3031.02,0.63941,0.3936,0.85237,0.90232,0.69221,0.76463,0.65446,0.583,0.37481,0.83809,0.000703,0.000703,0.000703
11,3461.75,0.63482,0.39066,0.85136,0.89923,0.70261,0.76791,0.65887,0.58081,0.37148,0.83786,0.00067,0.00067,0.00067
12,3897.64,0.63043,0.38578,0.8508,0.89675,0.70635,0.76869,0.65978,0.57198,0.36797,0.83482,0.000637,0.000637,0.000637
13,4330.72,0.62681,0.38351,0.84924,0.9041,0.70291,0.76947,0.66186,0.57983,0.37078,0.83643,0.000604,0.000604,0.000604
14,4756.92,0.62247,0.38242,0.84871,0.90621,0.70463,0.77123,0.66359,0.56924,0.3618,0.83419,0.000571,0.000571,0.000571
15,5164.05,0.6188,0.37813,0.84796,0.90097,0.70907,0.7712,0.66486,0.56661,0.35898,0.83339,0.000538,0.000538,0.000538
16,5570.73,0.61522,0.37495,0.84657,0.90657,0.70747,0.774,0.66715,0.56597,0.35909,0.8332,0.000505,0.000505,0.000505
17,5978.14,0.61184,0.37347,0.84576,0.90335,0.71011,0.77256,0.66758,0.5628,0.35781,0.83202,0.000472,0.000472,0.000472
18,6385.06,0.6081,0.37009,0.8446,0.90305,0.71147,0.77275,0.66931,0.55907,0.35407,0.83165,0.000439,0.000439,0.000439
19,6791.8,0.60437,0.36716,0.84364,0.90591,0.70899,0.77429,0.66943,0.56087,0.35369,0.83233,0.000406,0.000406,0.000406
20,7198.27,0.60171,0.3655,0.84334,0.91515,0.69843,0.7749,0.67072,0.55947,0.35235,0.83193,0.000373,0.000373,0.000373
21,7595.09,0.57077,0.34568,0.83332,0.91355,0.70424,0.77474,0.66856,0.56249,0.35406,0.83256,0.00034,0.00034,0.00034
22,7988.25,0.56318,0.34079,0.83078,0.90147,0.71283,0.77614,0.67098,0.55492,0.34936,0.83182,0.000307,0.000307,0.000307
23,8381.42,0.5565,0.33722,0.83005,0.90482,0.71391,0.77701,0.67423,0.55217,0.348,0.82937,0.000274,0.000274,0.000274
24,8774.7,0.55352,0.33415,0.82882,0.91406,0.71174,0.77843,0.67528,0.55008,0.3443,0.82899,0.000241,0.000241,0.000241
25,-49962.4,0.58457,0.3537,0.83869,0.90853,0.71374,0.77918,0.67819,0.54273,0.34047,0.82697,0.000208,0.000208,0.000208
26,-49533.6,0.57655,0.34879,0.83721,0.91249,0.71478,0.77997,0.67916,0.54325,0.34105,0.82679,0.000175,0.000175,0.000175
27,-49099.9,0.5733,0.34626,0.83632,0.75008,0.70867,0.77896,0.67821,0.54303,0.34069,0.82685,0.000142,0.000142,0.000142
28,-48668.6,0.5697,0.3442,0.83572,0.91222,0.71477,0.77981,0.67899,0.54291,0.33938,0.82694,0.000109,0.000109,0.000109
29,-48244.1,0.56541,0.34084,0.83471,0.90647,0.72045,0.78032,0.67987,0.54109,0.33812,0.82625,7.6e-05,7.6e-05,7.6e-05
30,-47819.6,0.56394,0.33968,0.8341,0.74231,0.71871,0.78077,0.67975,0.54138,0.33778,0.82644,4.3e-05,4.3e-05,4.3e-05
